name,latitude,elevation,location,last_updated
Indira Gandhi International Airport,28.5665,777,New Delhi,2017-12-15T03:08:58+00:00
Chhatrapati Shivaji International Airport,19.08869934,39,Mumbai,2013-04-12T01:27:48+00:00
Kempegowda International Airport,13.1979,3000,Bangalore,2016-02-01T17:54:36+00:00
Chennai International Airport,12.99000549,52,Chennai,2008-12-07T02:26:07+00:00
Dabolim Airport,15.38080025,150,Vasco da Gama,2013-04-27T02:00:28+00:00
Cochin International Airport,10.152,30,Kochi,2017-08-14T21:46:46+00:00
Netaji Subhash Chandra Bose International Airport,22.65469933,16,Kolkata,2008-06-13T14:30:04+00:00
Rajiv Gandhi International Airport,17.23131752,2024,Hyderabad,2016-01-12T23:34:46+00:00
Trivandrum International Airport,8.48211956,15,Thiruvananthapuram,2015-06-07T09:22:17+00:00
Sardar Vallabhbhai Patel International Airport,23.07719994,189,Ahmedabad,2010-08-30T13:18:43+00:00
Jaipur International Airport,26.8242,1263,Jaipur,2018-09-15T03:40:23+00:00
HAL Airport,12.94999981,2912,Bangalore,2010-03-16T04:45:50+00:00
Pune Airport,18.58209991,1942,Pune,2008-06-13T14:30:04+00:00
Sri Guru Ram Dass Jee International Airport,31.70960045,756,Amritsar,2015-01-21T15:57:04+00:00
Vadodara Airport,22.336201,129,Vadodara,2018-07-14T01:52:53+00:00
Mangalore International Airport,12.9612999,337,Mangalore,2010-09-02T22:02:00+00:00
Begumpet Airport,17.4531002,1742,Hyderabad,2016-01-12T23:32:13+00:00
Lal Bahadur Shastri Airport,25.45240021,266,Varanasi,2010-09-01T18:43:16+00:00
Calicut International Airport,11.13679981,342,Calicut,2011-09-02T04:53:33+00:00
Biju Patnaik Airport,20.24440002,138,Bhubaneswar,2010-09-07T17:37:14+00:00
Coimbatore International Airport,11.02999973,1324,Coimbatore,2010-09-07T19:06:09+00:00
Lokpriya Gopinath Bordoloi International Airport,26.10610008,162,Guwahati,2008-06-13T14:30:04+00:00
Lok Nayak Jayaprakash Airport,25.59129906,170,Patna,2010-09-08T18:02:08+00:00
Devi Ahilyabai Holkar Airport,22.72179985,1850,Indore,2010-09-07T20:17:15+00:00
